source,title,page,chunk_number,text
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,4,gs/hospital/red/toolkit/redtool5.html#Preparing) Ensure Continuity of Care (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Prep1) Learn How To Confirm Understanding (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Prep2) Review Health History and Discharge Plans (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool5.html#Prep4) Check Accuracy and Safety of Medicine Lists (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool5.html#Prep5) Identify Problems Patients Could Have With Medicines (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool5.html#Prep6) Arrange for Interpreter Services (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,5,hospital/red/toolkit/redtool5.html#Prep6) Arrange for Interpreter Services (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Prep7) Conducting the Phone Call (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Conducting) Whom and When To Call (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Conducting1) What To Say (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Conducting2) Documenting Your Call (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Documenting) Communicating With the PCP (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#pcp) Phone Call Role Play (https://www.ahrq.gov/patient-safety/settings/
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,6,tps://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#pcp) Phone Call Role Play (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/phone-roleplay.html) Postdischarge Followup Phone Call Script (Patient Version) (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/postdischarge-phone.html) Postdischarge Followup Phone Call Documentation Form (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/postdischarge-doc.html) Tool 6: How To Monitor RED Implementation and Outcomes (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html) Purpose of This Tool (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Purpose) Getting Started (https://www.ahrq.gov/patient-safety/settings
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,7,https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Purpose) Getting Started (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Start) Selecting and Specifying Measures (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Measures) Implementation Measures (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Measures1) Is the RED Being Delivered to Target Patients? (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#REDTarget) Is the Correct Information Being Collected? (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#Correct) Is Evidence-Based Care Being Delivered? (https://www.ahrq.gov/patient- safety/settings/hosp
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,8,afety/settings/hospital/red/toolkit/redtool6.html#Correct) Is Evidence-Based Care Being Delivered? (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#EBCare) Is Appropriate Followup Care Being Arranged? (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#Followup) Are Patients Being Prepared for Discharge? (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#PtPrepared) Are Patients Receiving Postdischarge Care? (https://www.ahrq.gov/patient-
AHRQ,Re-Engineered Discharge (RED) Toolkit,5,1,safety/settings/hospital/red/toolkit/redtool6.html#PtPostdischarge) Selecting Implementation Measures (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#SelectingIM) Outcome Measures (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Measures2) Hospital Reutilization Measures (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Reutilization) Connections With Outpatient Providers (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#Connections) Knowledge for Self-Management (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Knowledge) Patient Satisfaction (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Satisfact
AHRQ,Re-Engineered Discharge (RED) Toolkit,5,2,l/red/toolkit/redtool6.html#Knowledge) Patient Satisfaction (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Satisfaction) Collecting Data (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Data) RED Workbooks and Contact Sheets (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Data1) Electronic Health Records and the RED Workstation (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool6.html#Data2) Patient Surveys (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Data3) Measurement Timing and Frequency (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Timing) Other Means of Monitoring the RED (https://www.ahrq.gov/
AHRQ,Re-Engineered Discharge (RED) Toolkit,5,3,ency (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Timing) Other Means of Monitoring the RED (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Other) Root Cause Analyses (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Root) DE Help Line Logs (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Help) Direct Observation (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Direct) Taking Action (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Action) Summary (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Summary) References (https://www.ahrq.gov/patient-safety/settings/hospit
AHRQ,Re-Engineered Discharge (RED) Toolkit,5,4,"tps://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6.html#Summary) References (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool6ref.html) Discharge Measures Used by Other Organizations (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool-other.html) Patient Outcome Survey (mailed version) (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/ptoutcome-mail.html) Patient Outcome Survey (phone version) (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/ptoutcome- phone.html) Tool 7: Understanding and Enhancing the Role of Family Caregivers in the Re-Engineered Discharge To augment the Re-Engineered Discharge Toolkit, Carol Levine and Jennifer Rutberg of United Hospital Fund and Brian Jack and Ramo"
AHRQ,Re-Engineered Discharge (RED) Toolkit,5,5,"Engineered Discharge To augment the Re-Engineered Discharge Toolkit, Carol Levine and Jennifer Rutberg of United Hospital Fund and Brian Jack and Ramon Cancino of Boston University School of Medicine have developed Tool 7: Understanding and Enhancing the Role of Family Caregivers in the Re-Engineered Discharge (http://www.bu.edu/fammed/projectred/Project%20RED%20Revised%20Toolkit%209- 2012/REDTool7FamilyCaregiversUnitedHospital%20Fund.pdf) (PDF, 428 KB). The authors of this guide are responsible for its content. The opinions expressed in this document are those of the authors and do not reflect the official position of the Agency for Healthcare Research and Quality or the U.S. Department of Health and Human Services. Statements in the guide should not be construed as endorsement by the Age"
AHRQ,Re-Engineered Discharge (RED) Toolkit,5,6,"re Research and Quality or the U.S. Department of Health and Human Services. Statements in the guide should not be construed as endorsement by the Agency for Healthcare Research and Quality or the U.S. Department of Health and Human Services. (https://www.ahrq.gov) Acknowledgments We would like to thank the following consultants who gave feedback on earlier versions of this tool: Linda Barnes, MD; William Barron, MD; Frances Bonardi, RN; Erica Dobson, PharmD; Luke Hansen, MD; Steve Martin, MD; Carol Mostow, LICSW; Victoria Parker, DBA; and Jeff Ring, MD We would also like to thank the hospitals who implemented the RED using an earlier version of this toolkit and provided insights that were used in finalizing the toolkit. Finally, we thank Carol VanDuesen Lukas, EdD, and Sally Holmes, MBA,"
AHRQ,Re-Engineered Discharge (RED) Toolkit,5,7,"of this toolkit and provided insights that were used in finalizing the toolkit. Finally, we thank Carol VanDuesen Lukas, EdD, and Sally Holmes, MBA, from the Boston University School of Public Health for conducting interviews and compiling lessons learned. Page last reviewed March 2025 Page originally created March 2013"
AHRQ,How To Conduct a Postdischarge Follow-up Phone Call,1,1,"(https://www.ahrq.gov/) Re-Engineered Discharge (RED) Toolkit Tool 5: How To Conduct a Postdischarge Followup Phone Call Previous Page Next Page Table of Contents (https://www.ahrq.gov) Purpose of This Tool The Re-Engineered Discharge (RED) aims to effectively prepare patients and families for discharge from the hospital, improve patient and family satisfaction, and decrease hospital readmission rates. The postdischarge followup phone call, the 12th component of the RED, is an essential part of supporting the patient from the time of discharge until his or her first appointment for followup care. Tool 2, ""How To Begin Implementing the RED,"" (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool2.html) discusses the options for assigning staff to conduct the call. All RE"
AHRQ,How To Conduct a Postdischarge Follow-up Phone Call,1,2,"https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool2.html) discusses the options for assigning staff to conduct the call. All RED patients should be called 2 to 3 days after discharge by a member of the clinical staff. This postdischarge followup phone call allows the patient's actions, questions, and misunderstandings, including discrepancies in the discharge plan, to be identified and addressed, as well as any concerns from caregivers or family members. Callers review each patient's: Health status. Medicines. Appointments. Home services. Plan for what to do if a problem arises. This tool addresses the person who will make the followup phone call. After reading this tool, you will: Know how prepare for the phone call. Be proficient in completing a postdischarge follo"
